scowl_n,n
painstaking_a,p
thumb_v,n
insincere_a,n
impoverish_v,n
scowl_v,n
hard-line_a,n
ripe_a,p
inefficient_a,n
sanction_v,p
dunce_n,n
saintliness_n,p
pugnacity_n,n
thank_v,p
smoldering_a,n
dignity_n,p
unnecessary_a,n
blockhead_a,n
obsessiveness_n,n
constraint_n,n
insecurity_n,n
irresolute_a,n
insecurity_a,n
incense_v,n
fame_n,p
infiltrators_a,n
proud_a,p
infiltrators_n,n
grieve_v,n
moralize_v,p
virtuous_a,p
stirring_a,p
objections_n,n
aggravation_n,n
adulteration_n,n
insult_n,n
bliss_n,p
insult_v,n
untouched_a,p
okay_a,p
bestial_a,n
successful_a,p
violator_n,n
violator_a,n
holy_a,p
arcane_a,n
relax_v,p
amicable_a,p
epic_a,p
limit_a,n
abundance_n,p
prickle_v,n
innovation_a,p
innovation_n,p
horrify_a,n
defy_v,n
burdensome_a,n
warp_v,n
horrify_v,n
taste_n,p
tradition_n,p
discompose_v,n
inconsistencies_n,n
wise_n,p
dangerous_a,n
wise_a,p
inconsistencies_a,n
triumphant_v,p
slaughtered_a,n
bias_n,n
bias_a,n
beatify_v,p
triumphant_a,p
doom_v,n
distract_v,n
bias_v,n
fiasco_n,n
affection_a,p
affection_n,p
perturb_v,n
devoid_a,n
upset_a,n
insistence_a,p
downgrade_v,n
insistence_n,p
industrious_a,p
devout_a,p
strange_a,n
err_v,n
reliability_n,p
enthusiastic_a,p
casualty_n,n
confident_a,p
yearn_v,p
hamstring_v,n
succeed_v,p
risk-free_a,p
unparalleled_a,p
sober_v,n
sober_a,n
merciless_a,n
madman_n,n
fast-paced_a,p
boom_n,p
contamination_n,n
stodgy_a,n
inoffensive_a,p
deadly_a,n
contortions_n,n
compassionate_a,p
contortions_a,n
staggering_a,n
accost_v,n
imbalance_a,n
imbalance_n,n
lonely_a,n
poor_a,n
willfully_a,p
trust_n,p
impeccable_a,p
despoil_v,n
unsavory_a,n
untimely_a,n
